cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,chbal,chcic,chitem,chcoin,chus,chusfbk,chnus,chnusfbk,chfrb,chbalni
"27013","9217","833271","3449431","Conestoga Bank","Chester Springs","PA","19425","12/31/2014","2/18/2015","SM","165 Pottstown Pike","CONESTOGA BANCORP, INC","15","0","0","4","0","Chester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","7/22/1987","7/22/1987","5/12/2007","Stock","0","0","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","www.conestogabank.com","14142","10095","8232","1863","1765","0","0","0","2282","10291"
"58301","0","3452365","3465561","Congaree State Bank","West Columbia","SC","29169","12/31/2014","2/18/2015","NM","2023 Sunset Boulevard","CONGAREE BANCSHARES, INC.","2","0","0","4","0","Lexington","17900","Columbia, SC","10/16/2006","10/16/2006","8/8/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.congareestatebank.com","3036","","","","","","","","","2864"
"57614","0","3187630","3391129","Congressional Bank","Potomac","MD","20854","12/31/2014","2/18/2015","NM","7963 Tuckerman Lane","CONGRESSIONAL BANCSHARES, INC.","5","0","1","4","0","Montgomery","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","10/17/2003","10/17/2003","7/31/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","http://WWW.CONGRESSIONALBANK.COM","70584","384","3","381","65666","0","0","0","4535","13237"
"28677","2123","203575","0","Conneaut Savings Bank","Conneaut","OH","44030","12/31/2014","2/18/2015","SB","305 Main Street","","3","0","1","5","0","Ashtabula","","","1/1/1888","1/8/1937","9/18/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.conneautsavings.com","11651","","","","","","","","","1387"
"34876","0","2756909","2863946","Connecticut Community Bank, National Association","Westport","CT","6880","12/31/2014","2/18/2015","N","1495 Post Road East","ASSOCIATED COMMUNITY BANCORP, INC.","10","0","0","4","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","12/28/1998","12/28/1998","7/29/2014","Stock","0","0","OCC","DIF","New York","NEW YORK","Hartford","New York","Northeastern","Northeast","ccbankonline.com","163336","5718","4135","1583","6326","0","0","0","151292","8507"
"57919","0","3317932","1048764","ConnectOne Bank","Englewood Cliffs","NJ","7632","12/31/2014","2/18/2015","NM","301 Sylvan Avenue","CONNECTONE BANCORP, INC.","23","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","1/15/2005","1/15/2005","7/1/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","http://www.connectonebank.com","130444","19615","15678","3937","15795","15795","0","0","95034","22356"
"19482","12891","477321","2286228","Consumers National Bank","Minerva","OH","44657","12/31/2014","2/18/2015","N","614 East Lincoln Way","CONSUMERS BANCORP, INC.","12","0","0","4","0","Stark","15940","Canton-Massillon, OH","9/1/1965","9/1/1965","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.consumersbank.com","17688","6801","3479","3322","7248","0","0","0","3639","8582"
"57571","0","3220863","3191459","Continental Bank","Salt Lake City","UT","84101","12/31/2014","2/18/2015","NM","15 W. S. Temple, Suite 420","CONTINENTAL BANCORPORATION","1","0","0","4","1","Salt Lake","41620","Salt Lake City, UT","11/3/2003","11/3/2003","10/6/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","http://www.cbankus.com","9970","","","","","","","","","1352"
"58061","17996","3381876","0","Continental Bank","East Norriton","PA","19401","12/31/2014","2/18/2015","SA","113 West Germantown Pike","","11","0","0","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","9/7/2005","9/7/2005","12/31/2014","Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","www.thecontinentalbank.com","17934","1249","0","1249","8249","0","0","0","8436","7194"
"21578","0","837037","1129681","Continental National Bank","Miami","FL","33135","12/31/2014","2/18/2015","N","1801 S.W. 1st Street","CONTINENTAL BANCORP","7","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","5/10/1974","5/10/1974","2/6/2014","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","https://www.continentalbank.com","64971","2593","0","2593","51783","0","0","0","10595","26633"
"4649","13646","972750","2338033","Conway Bank, National Association","Conway Springs","KS","67031","12/31/2014","2/18/2015","N","124 West Spring Avenue","NORCON FINANCIAL CORP.","4","0","0","2","0","Sumner","48620","Wichita, KS","5/1/1886","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","www.conwaybank.net","8485","","","","","","","","","3513"
"58041","0","3368989","3533264","Cooper State Bank","Dublin","OH","43017","12/31/2014","2/18/2015","NM","5811 Sawmill Road","C FINANCIAL CORPORATION","6","0","0","4","1","Franklin","18140","Columbus, OH","8/1/2005","8/1/2005","11/14/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","WWW.CSBANK.COM","4333","","","","","","","","","4276"
"8231","9508","398837","3319972","Copiah Bank, National Association","Hazlehurst","MS","39083","12/31/2014","2/18/2015","N","101 Caldwell Drive","COPIAH BANCSHARES, INC.","8","0","0","4","0","Copiah","27140","Jackson, MS","10/26/1891","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","WWW.COPIAHBANK.COM","11691","","","","","","","","","4124"
"34363","0","976552","3428502","Core Bank","Omaha","NE","68144","12/31/2014","2/18/2015","NM","12100 West Center Road","DS HOLDING COMPANY, INC.","9","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/27/1996","12/27/1996","9/1/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","","11120","7546","4782","2764","1151","0","0","0","2423","9392"
"18100","11298","361055","2883298","CoreFirst Bank & Trust","Topeka","KS","66611","12/31/2014","2/18/2015","NM","3035 South Topeka Avenue","COMMERCE BANK AND TRUST HOLDING COMPANY EMPLOYEE STOCK OWNERSHIP PLAN","20","0","1","4","1","Shawnee","45820","Topeka, KS","11/30/1959","11/30/1959","3/26/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","www.cbtks.com","26186","8217","411","7806","737","0","0","0","17232","8537"
"16868","0","177555","1133138","Corn Growers State Bank","Murdock","NE","68407","12/31/2014","2/18/2015","NM","333 Nebraska Street","MCHUGH INVESTMENT COMPANY","1","0","0","2","0","Cass","36540","Omaha-Council Bluffs, NE-IA","1/3/1950","1/11/1950","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","","5136","","","","","","","","","736"
"4803","12588","91156","1064269","CORNERBANK","Winfield","KS","67156","12/31/2014","2/18/2015","SM","900 Main Street","CORNERSTONE ALLIANCE, LTD.","10","0","0","2","1","Cowley","","","9/27/1872","1/1/1934","6/28/2014","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","www. cornerbank.com","5110","","","","","","","","","4909"
"57250","52163","3027763","3027754","Cornerstone Bank","Overland Park","KS","66221","12/31/2014","2/18/2015","SM","9120 W. 135th Street","CORNERSTONE BANCSHARES, INC.","2","0","1","4","1","Johnson","28140","Kansas City, MO-KS","10/26/2001","10/26/2001","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","www.cornerstonebk.com","10906","","","","","","","","","441"
"13198","0","743857","3435283","Cornerstone Bank","Fargo","ND","58104","12/31/2014","2/18/2015","NM","2280 45th Street South","CORNERSTONE HOLDING COMPANY, INC.","4","0","0","4","1","Cass","22020","Fargo, ND-MN","7/15/1907","1/1/1934","12/8/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","http://www.cornerstonebanks.net","5711","5115","4236","879","176","0","0","0","420","5265"
"30067","4676","843476","0","Cornerstone Bank","Clarinda","IA","51632","12/31/2014","2/18/2015","SM","123 East Main Street","","1","0","0","8","0","Page","","","1/1/1897","6/12/1967","6/30/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","www.cornerstonebankia.com","9727","","","","","","","","","1332"
"35284","0","2895835","3347564","Cornerstone Bank","Wilson","NC","27896","12/31/2014","2/18/2015","NM","3710 West Nash Street","CB FINANCIAL CORPORATION","1","0","0","4","0","Wilson","","","3/15/2000","3/15/2000","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","http://www.thecornerstonebank.com","9867","","","","","","","","","1043"
"35286","0","2850768","3831513","Cornerstone Bank","Moorestown","NJ","8057","12/31/2014","2/18/2015","NM","253 W. Main Street","CORNERSTONE FINANCIAL CORPORATION","8","0","0","4","0","Burlington","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10/4/1999","10/4/1999","9/10/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.cornerstonebanknj.com","2644","992","1","991","1261","0","0","0","391","992"
"2318","0","537355","1059443","Cornerstone Bank","Watonga","OK","73772","12/31/2014","2/18/2015","NM","115 West A Street","WATONGA BANCSHARES, INC.","3","0","0","2","0","Blaine","","","1/28/1928","1/1/1934","10/2/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.bankoncornerstone.com","10142","","","","","","","","","1504"
