cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,ilndom,ilnfor,ils,ichbal,isc,itrade,ifrepo,IOTHII
"1945","0","772754","0","Metz Banking Company","Nevada","MO","64772","12/31/2014","2/18/2015","NM","123 North Osage Boulevard","","2","0","0","2","1","Vernon","","","9/14/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","http://www.metzbank.com","2981","2738","","0","21","222","0","0","0"
"32293","8104","367178","0","Miami Savings Bank","Miamitown","OH","45041","12/31/2014","2/18/2015","SA","8008 Ferry Street","","3","0","0","4","0","Hamilton","17140","Cincinnati, OH-KY-IN","12/27/1909","3/26/1985","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","www.miamisavingsbank.com","4190","4054","","0","60","47","0","0","29"
"11459","0","873259","1978151","Mid America Bank","Linn","MO","65051","12/31/2014","2/18/2015","NM","502 E Main St","FRIENDSHIP BANCSHARES, INC.","5","0","0","4","1","Osage","27620","Jefferson City, MO","4/12/1914","1/1/1934","1/25/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","http://www.midambk.com","14228","13060","","0","158","1005","0","0","5"
"15183","14164","659042","3711866","Mid America Bank","Janesville","WI","53545","12/31/2014","2/18/2015","NM","2317 Milton Avenue","WISCONSIN BANCORP, INC.","4","0","0","4","0","Rock","27500","Janesville-Beloit, WI","1/3/1910","1/6/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","http://www.bankmidamerica.com","4010","3626","","0","0","372","0","9","3"
"1624","0","894151","2600347","Mid America Bank & Trust Company","Dixon","MO","65459","12/31/2014","2/18/2015","SM","216 West Second Street","MID AMERICA BANKING CORPORATION","3","0","0","4","0","Pulaski","","","1/3/1920","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","http://www.midamericabanking.com","6195","5109","","0","4","1051","0","2","29"
"9889","10447","786612","1944204","Mid Penn Bank","Millersburg","PA","17061","12/31/2014","2/18/2015","NM","349 Union Street","MID PENN BANCORP, INC.","14","0","0","4","0","Dauphin","25420","Harrisburg-Carlisle, PA","2/21/1868","1/1/1934","12/4/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","www.midpennbank.com","30609","26794","","111","42","3539","0","0","123"
"17374","0","919456","2521059","Mid-America Bank","Baldwin City","KS","66006","12/31/2014","2/18/2015","NM","802 Ames Street","MID-AMERICA BANKSHARES, INC.","4","0","0","4","0","Douglas","29940","Lawrence, KS","12/11/1900","12/16/1954","12/1/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","http://www.mid-americabank.com","4797","4756","","0","21","0","0","5","15"
"30943","6149","773171","0","Mid-Central Federal Savings Bank","Wadena","MN","56482","12/31/2014","2/18/2015","SA","520 South Jefferson St","","3","0","0","5","1","Wadena","","","3/11/1957","3/11/1957","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","http://www.midcentralbank.com","4557","4535","","0","17","3","0","0","2"
"15584","10756","950141","1133455","Mid-Missouri Bank","Springfield","MO","65809","12/31/2014","2/18/2015","NM","3546 East Sunshine","MID-MISSOURI BANCSHARES, INC.","15","0","0","4","0","Greene","44180","Springfield, MO","6/20/1872","2/24/1938","6/26/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","www.midmobank.com","22292","21812","","0","270","197","0","0","13"
"30133","4817","857875","0","Mid-Southern Savings Bank, FSB","Salem","IN","47167","12/31/2014","2/18/2015","SA","300 N Water Street","","4","0","0","8","0","Washington","31140","Louisville-Jefferson County, KY-IN","1/1/1891","2/6/1941","11/5/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","www.mid-southern.com","7329","6915","","0","9","339","0","0","66"
"3612","0","510938","1206573","MidAmerica National Bank","Canton","IL","61520","12/31/2014","2/18/2015","N","100 West Elm Street","MIDAMERICA NATIONAL BANCSHARES, INC.","6","0","0","8","0","Fulton","","","11/22/1933","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.midnatbank.com","10811","7000","","12","39","3711","0","0","49"
"58498","0","3592609","4144265","MidCoast Community Bank","Wilmington","DE","19808","12/31/2014","2/18/2015","NM","4900 Kirkwood Highway","MIDCOAST COMMUNITY BANCORP, INC","4","0","0","4","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","3/15/2007","3/15/2007","10/4/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","www.midcoastbankonline.com","9290","9202","","0","43","6","0","9","30"
"28865","2518","3971","0","MidCountry Bank","Marion","IL","62959","12/31/2014","2/18/2015","SA","2611 Blue Heron Drive","","23","0","1","4","0","Williamson","16060","Carbondale-Marion, IL","1/1/1933","10/11/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","www.midcountrybank.com","30596","26827","","1735","61","1950","0","2","21"
"28368","1452","87579","0","Middlesex Federal Savings, F.A.","Somerville","MA","2144","12/31/2014","2/18/2015","SA","1 College Ave","","3","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1890","2/8/1937","8/22/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","www.middlesexfederal.com","11223","9612","","0","95","1464","0","4","48"
"90183","11307","888002","3932072","Middlesex Savings Bank","Natick","MA","1760","12/31/2014","2/18/2015","SB","6 Main Street","MIDDLESEX BANCORP MHC","31","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","3/5/1835","11/8/1985","7/1/2009","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","www.middlesexbank.com","124848","102612","","0","185","21638","0","17","396"
"33978","14437","2267683","3264447","Middleton Community Bank","Middleton","WI","53562","12/31/2014","2/18/2015","NM","3207 Parmenter Street","MCB BANKSHARES, INC.","5","0","0","4","0","Dane","31540","Madison, WI","1/31/1995","1/31/1995","12/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","http://www.middletonbank.com","9437","7665","","0","35","1730","0","4","3"
"10463","15586","770545","2513250","Middletown State Bank","Middletown","IL","62666","12/31/2014","2/18/2015","NM","6th And Madison Streets","BARKER BROTHERS, INC.","3","0","0","2","1","Logan","","","6/5/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","","1033","989","","0","5","34","0","5","0"
"14017","0","41825","0","Middletown Valley Bank","Middletown","MD","21769","12/31/2014","2/18/2015","NM","24 West Main Street","","5","0","0","5","0","Frederick","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","1/4/1908","3/8/1934","10/30/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.mvbbank.com","5590","4865","","0","0","718","0","7","0"
"4063","14191","595270","0","MidFirst Bank","Oklahoma City","OK","73118","12/31/2014","2/18/2015","SA","501 Nw Grand Boulevard","","81","0","1","4","1","Oklahoma","36420","Oklahoma City, OK","2/28/1911","1/1/1934","1/6/2015","Stock","0","1","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.midfirst.com","434520","409823","","0","1043","16357","0","0","7297"
"19796","0","822631","2609489","Midland Community Bank","Kincaid","IL","62540","12/31/2014","2/18/2015","NM","112 Market Street","MIDLAND BANCSHARES, INC.","2","0","0","5","0","Christian","","","3/29/1968","3/29/1968","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://WWW.MCBBANK.NET","1964","1622","","0","0","340","0","1","1"
"29980","4475","820477","0","Midland Federal Savings and Loan Association","Bridgeview","IL","60455","12/31/2014","2/18/2015","SA","8929 South Harlem Avenue","","4","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1914","7/25/1950","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","MIDLANDFEDERAL.COM","3540","3184","","0","54","297","0","0","5"
"1040","15512","773247","1491351","Midland States Bank","Effingham","IL","62401","12/31/2014","2/18/2015","SM","1201 Network Centre Drive","MIDLAND STATES BANCORP, INC.","35","0","1","4","0","Effingham","","","1/1/1881","1/1/1934","6/6/2013","Stock","0","1","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","www.midlandsb.com","73140","56296","","0","174","16415","0","4","251"
"2777","0","929932","1136689","MidSouth Bank","Dothan","AL","36301","12/31/2014","2/18/2015","NM","2526 West Main Street","MIDSOUTH BANCORPORATION","9","0","1","4","1","Houston","20020","Dothan, AL","1/1/1912","1/1/1934","3/28/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","www.bankmidsouth.com","10816","10220","","0","145","368","0","83","0"
"25884","11275","223331","1086654","MidSouth Bank, National Association","Lafayette","LA","70501","12/31/2014","2/18/2015","N","102 Versailles Blvd","MIDSOUTH BANCORP, INC.","61","0","1","4","0","Lafayette","29180","Lafayette, LA","2/7/1985","2/7/1985","12/29/2012","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","http://www.midsouthbank.com","83470","71990","","337","71","10719","0","6","347"
"29930","4364","702676","0","Midstate Community Bank","Baltimore","MD","21212","12/31/2014","2/18/2015","SB","6810 York Road","","1","0","0","5","0","Baltimore","12580","Baltimore-Columbia-Towson, MD","4/4/1884","8/5/1985","6/4/2012","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.midstatecb.com","7268","5933","","0","97","1225","0","6","7"
