cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s
"26403","9739","300960","2561671","Bank of Idaho","Idaho Falls","ID","83402","12/31/2014","2/18/2015","NM","151 N. Ridge Avenue","BANK OF IDAHO HOLDING CO.","7","0","0","4","1","Bonneville","26820","Idaho Falls, ID","9/25/1985","9/25/1985","6/17/2014","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","www.bankofidaho.com","13784","3020","7069","2673","1022"
"33648","0","727709","0","Bank of India","New York","NY","10017","12/31/2014","2/18/2015","OI","277 Park Ave","","1","0","0","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/7/1906","12/2/1980","11/1/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","","","","","",""
"23826","0","898458","1895397","Bank of Jackson Hole","Jackson","WY","83001","12/31/2014","2/18/2015","SM","990 West Broadway","BANCSHARES OF JACKSON HOLE, INCORPORATED","10","0","0","4","0","Teton","","","6/1/1982","6/1/1982","3/31/2006","Stock","0","0","FED","DIF","San Francisco","DALLAS","Billings","Kansas City","Western","West","www.bojh.com","16761","4457","6492","3742","2070"
"8118","15597","567240","1399804","Bank of Jamestown","Jamestown","KY","42629","12/31/2014","2/18/2015","NM","400 Monument Square","JAMESTOWN BANCORP INC","3","0","0","8","0","Russell","","","7/17/1899","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","www.bankofjamestown.com","45539","9295","13109","19657","3478"
"34897","0","2731876","3340024","Bank of Jones County","Laurel","MS","39440","12/31/2014","2/18/2015","NM","1808 Highway 84 West","JONES COUNTY BANCSHARES, INC.","2","0","0","7","0","Jones","","","9/21/1998","9/21/1998","1/1/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","","38268","8069","16352","8279","5568"
"11750","0","487142","3210369","Bank of Kampsville","Kampsville","IL","62053","12/31/2014","2/18/2015","NM","Broadway And North Street","KAMPSVILLE BANCSHARES INC","4","0","0","2","0","Calhoun","41180","St. Louis, MO-IL","12/1/1908","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","www.thebankofkampsville.com","28154","4606","7938","10012","5598"
"9817","15694","442758","1051924","Bank of Keystone","Keystone","NE","69144","12/31/2014","2/18/2015","NM","105 Inland Seas","KEYSTONE INVESTMENT, INC.","4","0","0","2","1","Keith","","","6/10/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.bankofkeystone.com","10188","2712","4129","2082","1265"
"9775","12029","780049","3097850","Bank of Kilmichael","Kilmichael","MS","39747","12/31/2014","2/18/2015","NM","120 North Depot Avenue","KILMICHAEL BANCORP, INC.","3","0","0","4","1","Montgomery","","","9/16/1904","1/1/1934","8/21/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","www.bankofkilmichael.com","31670","14000","12119","4272","1279"
"1635","0","796451","2352280","Bank of Kirksville","Kirksville","MO","63501","12/31/2014","2/18/2015","NM","214 South Franklin Street","ROCKHOLD BANCORP","8","0","0","2","1","Adair","","","1/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","www.bankofkirksville.com","131508","30491","68088","32188","741"
"1874","12723","246657","1051317","Bank of Labor","Kansas City","KS","66101","12/31/2014","2/18/2015","NM","756 Minnesota Avenue","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS","7","0","0","4","0","Wyandotte","28140","Kansas City, MO-KS","9/2/1924","1/1/1934","10/14/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","http://www.bankoflabor.com","40051","6667","20035","12970","380"
