cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncothr,nccomrer,idncgtpr
"8499","0","746942","3640407","Union State Bank","Greenfield","IA","50849","12/31/2014","2/18/2015","NM","214 South First Street","GREENFIELD BANCORPORATION, LTD","2","0","0","2","1","Adair","","","1/6/1890","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","http://www.usbgfd.com","1.13726828158763E-02","0","0","0","0","0","","0","0","0.157604412923562","","0.157604412923562","0","","0"
"14982","13345","148340","1204252","Union State Bank","Winterset","IA","50273","12/31/2014","2/18/2015","NM","201 West Court Avenue","MADISON HOLDING COMPANY","4","0","0","2","1","Madison","19780","Des Moines-West Des Moines, IA","1/2/1935","1/11/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.usbiowa.com","0.570978981679218","0.705673167750181","0","4.29344151453685","0","0","0","0","0","0","","0","0","","0"
"9764","0","150156","1125544","Union State Bank of Browns Valley","Browns Valley","MN","56219","12/31/2014","2/18/2015","NM","325 W Broadway","BROWNS VALLEY BANCSHARES, INC.","1","0","0","2","1","Traverse","","","1/1/1926","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","","0","0","","0","","0","","0","0","0","","0","0","",""
"20776","0","968557","2593506","Union State Bank of Fargo","Fargo","ND","58103","12/31/2014","2/18/2015","NM","4530 17th Avenue South","UNION BANCSHARES, INC.","2","0","0","4","0","Cass","22020","Fargo, ND-MN","8/21/1972","8/21/1972","1/2/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","www.unionstatebankfargo.com","2.66745954211443","7.33825268050063E-02","0","0","0","0.140674455863389","0","0.1539711731748","12.0414413240373","0","","0","0","","11.4649681528662"
"13195","0","855956","1128590","Union State Bank of Hazen","Hazen","ND","58545","12/31/2014","2/18/2015","NM","209 Central Avenue, N.W.","HAZEN BANCORPORATION, INC.","4","0","0","2","1","Mercer","","","1/1/1908","1/1/1934","7/1/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","http://www.betterstate.com","0.822378294015247","0.692437551861284","0","0","0","0.741973510852229","","0.741973510852229","1.26788852623651","1.60806759334969","","1.60806759334969","0.531038271378868","","0"
"14560","0","903754","0","Union State Bank of West Salem","West Salem","WI","54669","12/31/2014","2/18/2015","NM","120 South Mill Street","","2","0","0","8","0","La Crosse","29100","La Crosse-Onalaska, WI-MN","8/25/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Minneapolis","Central","Central","www.usbwestsalem.com","1.25378678990779","1.68324407039021","0","1.63512490537472","0","1.38750138750139","0","1.42029314850585","0.228600457200914","0.304066894716838","","0.304066894716838","0","","0"
"19396","11313","676151","1143678","Unison Bank","Jamestown","ND","58401","12/31/2014","2/18/2015","NM","401 First Avenue South","MCINTOSH COUNTY BANK HOLDING COMPANY, INC.","3","0","1","4","0","Stutsman","","","3/15/1965","3/15/1965","7/2/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","www.unisonbank.com","0.73030222458566","1.06357346917702","0","0.914370128877795","8.7656171914043","0","0","0","0","0","0","0","0","","0"
"57447","0","3161144","1134694","United American Bank","San Mateo","CA","94401","12/31/2014","2/18/2015","NM","101 S Ellsworth Ave, # 110","ATBANCORP","3","0","0","4","0","San Mateo","41860","San Francisco-Oakland-Hayward, CA","6/9/2003","6/9/2003","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","San Francisco","San Francisco","Western","Western","http://www.unitedamericanbank.com","0.239023434097047","0.290622620899672","0","0","0","1.22318194483143","2.21236708159049","0","0","0","","0","","","0"
"32025","7756","539377","3832181","United Bank","Springdale","AR","72764","12/31/2014","2/18/2015","SM","2600 South Thompson","UNITED HOLDING COMPANY, INC.","4","0","0","4","1","Washington","22220","Fayetteville-Springdale-Rogers, AR-MO","1/1/1978","6/27/1980","6/11/2014","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.united-bk.com","1.57213878549676","1.71276991631759","0","0.697265312649928","0","2.70864464712045","0","2.84062252323654","0","1.12956810631229","","1.12956810631229","","","0"
"14629","10166","164854","3613504","United Bank","Osseo","WI","54758","12/31/2014","2/18/2015","NM","50518 Charles Street","JOHN T. VUCUREVICH FOUNDATION","7","0","0","4","0","Trempealeau","","","12/23/1911","1/1/1934","7/16/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","www.unitedbankwi.com","1.924339642203","2.01959693637414","2.13207808389866","2.41376135526639","3.33740831295844","1.39397318722878","8.81316098707403E-02","1.65210069394036","2.13188330744001","0.721847930702599","","0.721847930702599","0","","0"
"18772","11190","226752","1884122","United Bank","Absarokee","MT","59001","12/31/2014","2/18/2015","NM","3 North Woodard Ave","ABSAROKEE BANCORPORATION, INC.","3","0","0","2","0","Stillwater","","","5/6/1963","5/6/1963","10/2/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","WWW.UBSMT.COM","2.65308288230924E-03","0","0","0","","0","0","0","2.13037920749893E-02","0","","0","0","","0"
"172","10091","37435","1082777","United Bank","Zebulon","GA","30295","12/31/2014","2/18/2015","NM","400 Griffin Street","UNITED BANK CORPORATION","17","0","0","4","1","Pike","12060","Atlanta-Sandy Springs-Roswell, GA","1/31/1905","1/1/1934","7/31/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.accessunited.com","2.33102156652399","2.64500295395014","4.00185128046899","2.43191701216802","0","2.38446518739257","0.455544241384854","2.81280310378274","0.802762998226454","0.493409459364207","0","0.534616412723871","0.136073909618277","","0"
