cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"58030","0","3368635","0","Paradise Bank","Boca Raton","FL","33431","12/31/2014","2/18/2015","SM","2420 N. Federal Hwy","","3","0","0","4","1","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/25/2005","7/25/2005","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.ParadiseBank.com","227920","3114","5275","2399","7237","1091","0","63201","28208","47655","44482","15122","6816"
"57874","0","3288452","4645324","Paragon Bank","Memphis","TN","38119","12/31/2014","2/18/2015","NM","5400 Poplar Ave., Suite 350","PARAGON FINANCIAL SOLUTIONS, INC","4","0","0","4","0","Shelby","32820","Memphis, TN-MS-AR","1/19/2005","1/19/2005","4/30/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","http://www.bankparagon.com","215127","1475","2006","6731","13125","18967","1458","65867","3077","20860","38244","39756","1882"
"9772","14116","776752","1128750","Paragon Bank","Wells","MN","56097","12/31/2014","2/18/2015","NM","190 South Broadway","SOUTHERN MINNESOTA BANCSHARES, INC.","2","0","0","2","0","Faribault","","","8/31/1925","1/1/1934","4/12/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.paragonbankmn.com","24804","184","192","2039","95","172","955","11114","2006","2647","1068","1910","2252"
"35100","0","2806626","3021800","Paragon Commercial Bank","Raleigh","NC","27612","12/31/2014","2/18/2015","NM","3535 Glenwood Avenue","PARAGON COMMERCIAL CORPORATION","2","0","0","4","0","Wake","39580","Raleigh, NC","5/10/1999","5/10/1999","3/26/2007","Stock","0","0","FDIC","DIF","Atlanta","DALLAS","Raleigh","Richmond","Northeastern","Southeast","www.paragoncommercial.com","868411","4262","4201","17722","31829","58825","26954","92125","61612","146900","264942","157896","723"
"26218","0","200640","1201363","Park Bank","Milwaukee","WI","53202","12/31/2014","2/18/2015","NM","330 East Kilbourn Avenue","BANKMANAGERS CORP.","6","0","0","4","1","Milwaukee","33340","Milwaukee-Waukesha-West Allis, WI","5/22/1985","5/22/1985","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","www.parkbankonline.com","575000","3629","4777","4780","2190","736","566","197945","83417","158972","102387","11272","508"
"13054","13185","518354","4281197","Park Bank","Holmen","WI","54636","12/31/2014","2/18/2015","NM","1200 Main Street","GOLDEN OAK BANCSHARES, INC.","3","0","0","4","0","La Crosse","29100","La Crosse-Onalaska, WI-MN","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Minneapolis","Central","Central","secure.helloparkbank.com","28167","556","549","1141","2838","1624","1104","8500","1881","2845","3848","954","353"
"28053","805","741273","0","Park Federal Savings Bank","Chicago","IL","60632","12/31/2014","2/18/2015","SA","5400 South Pulaski Road","","4","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1921","5/10/1938","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.parkfed.com","88727","9","248","1219","1849","11194","45495","552","3052","7333","6054","5501","819"
"34038","0","2316714","2536857","Park Ridge Community Bank","Park Ridge","IL","60068","12/31/2014","2/18/2015","NM","626 Talcott Road","COMMUNITY BANK CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","7/3/1995","7/3/1995","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.timetobank.com","163286","7461","13988","8483","6973","1168","0","33708","29453","21971","25587","3324","1463"
"8851","0","286457","2359887","Park State Bank","Duluth","MN","55806","12/31/2014","2/18/2015","NM","2630 West Superior Street","PARK BANK CORPORATION OF DULUTH","2","0","0","4","1","Saint Louis","20260","Duluth, MN-WI","6/28/1916","1/1/1934","4/20/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.parkstatebank.com","28213","1083","992","4774","3203","882","1765","1552","2444","5506","3900","1695","360"
"19381","10599","480059","0","Park State Bank & Trust","Woodland Park","CO","80863","12/31/2014","2/18/2015","NM","710 W Hwy 24","","1","0","0","4","1","Teller","17820","Colorado Springs, CO","3/1/1965","3/1/1965","6/5/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.psbtrust.com","51867","492","605","5108","1512","1802","12835","1039","2199","6232","3793","8096","7549"
"58408","0","3470985","4210478","Park Sterling Bank","Charlotte","NC","28204","12/31/2014","2/18/2015","NM","1043 E Morehead St, # 201","PARK STERLING CORPORATION","57","0","1","4","0","Mecklenburg","16740","Charlotte-Concord-Gastonia, NC-SC","10/25/2006","10/25/2006","5/1/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","www.parksterlingbank.com","1594379","16646","12460","34851","24193","36744","140079","57636","158322","329675","416719","330984","30485"
"34888","0","2764212","3347292","Parke Bank","Sewell","NJ","8080","12/31/2014","2/18/2015","NM","601 Delsea Drive","PARKE BANCORP, INC","6","0","1","4","0","Gloucester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/28/1999","1/28/1999","7/17/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.parkebank.com","718399","4620","13725","9516","7233","50673","72767","70179","22261","58912","45575","310377","25668"
"58796","0","3688043","3694026","Parkside Financial Bank & Trust","Clayton","MO","63105","12/31/2014","2/18/2015","NM","8112 Maryland Ave, # 101","PARKSIDE FINANCIAL, INC.","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","4/23/2008","4/23/2008","4/23/2008","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","www.parksidepath.com","269380","380","3334","4005","2728","0","0","52906","81009","56030","51523","17465","0"
"20160","10310","177546","1141188","Parkway Bank","Rogers","AR","72758","12/31/2014","2/18/2015","NM","3350 Pinnacle Hills Pkwy Sui","PARKWAY BANKSHARES, INC","5","0","0","4","0","Benton","22220","Fayetteville-Springdale-Rogers, AR-MO","4/1/1900","11/24/1975","7/9/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.parkway-bank.com","88094","1062","1291","11007","2595","0","0","11841","20299","23237","15689","739","0"
"19008","15641","1001639","1200692","Parkway Bank and Trust Company","Harwood Heights","IL","60656","12/31/2014","2/18/2015","NM","4800 North Harlem Avenue","PARKWAY BANCORP, INC.","32","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/22/1964","1/22/1964","7/22/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","http://www.parkwaybank.com","1596414","4946","3074","18784","17502","2700","784","93105","214002","536794","611961","58052","0"
"58588","0","3655933","0","Partners Bank of California","Mission Viejo","CA","92691","12/31/2014","2/18/2015","NM","27201 Puerta Real, # 160","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/16/2007","11/16/2007","8/9/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.partnersbankca.com","103366","0","0","0","0","3369","0","9262","18768","5459","7700","33041","23201"
