cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"35258","0","2851185","3213847","Community Bank & Trust","Ashland City","TN","37015","12/31/2014","2/18/2015","NM","575 South Main Street","TENNESSEE COMMUNITY BANK HOLDINGS, INC.","5","0","0","8","0","Cheatham","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/4/1999","10/4/1999","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","http://www.communitybankandtrustonline.com","6708","780","5928","-249","1103","0","571","0","532","6460","2765","610","3085","820","6","274","552","0","552","0","552","-545","0","0","547.98"
"17108","0","549862","1102200","Community Bank & Trust, Waco, Texas","Waco","TX","76701","12/31/2014","2/18/2015","NM","1800 Washington Avenue","COMMUNITY COMPANY, THE","3","0","0","4","0","Mclennan","47380","Waco, TX","5/14/1952","5/14/1952","3/6/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://www.cbtwaco.com","16768","2159","14609","1900","4306","2875","781","0","650","12507","7626","1043","3838","4508","-16","1150","3342","0","3342","0","3342","228","479","0","3353.84"
"13068","9859","957757","2072793","Community Bank and Trust","Neosho","MO","64850","12/31/2014","2/18/2015","SM","100 South Wood Street","COMMUNITY BANCSHARES EMPLOYEE STOCK OWNERSHIP PLAN","14","0","1","8","1","Newton","27900","Joplin, MO","1/1/1884","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","www.CBTHOMEBANK.com","9105","568","8537","264","6361","536","4009","0","1816","11789","6889","1444","3456","2845","17","12","2850","0","2850","0","2850","266","3153","0","2833"
"32968","0","1474309","1081873","Community Bank and Trust - Alabama","Union Springs","AL","36089","12/31/2014","2/18/2015","NM","202 North Powell Street","COMMUNITY BANKSHARES, INC.","2","0","0","7","0","Bullock","","","5/18/1990","5/18/1990","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","WWW.REDAPPLEBANK.COM","2331","311","2020","0","657","0","446","0","211","2992","978","317","1697","-315","0","0","-315","0","-315","0","-315","-331","0","0","-315"
"25796","0","761833","1081873","Community Bank and Trust - West Georgia","Lagrange","GA","30240","12/31/2014","2/18/2015","NM","201 Broad Street","COMMUNITY BANKSHARES, INC.","4","0","0","4","0","Troup","","","12/15/1984","12/15/1984","4/1/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","Redapplebank.com","3126","352","2774","0","320","0","408","0","-88","4363","1572","596","2195","-1269","0","0","-1269","0","-1269","0","-1269","33","0","0","-1269"
"23189","10076","1015841","1201448","Community Bank and Trust Company","Muscatine","IA","52761","12/31/2014","2/18/2015","NM","615 Cedar Street","C-B-G, INC.","5","0","0","2","1","Muscatine","","","8/11/1980","8/11/1980","9/1/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.commbk.net","8885","1208","7677","396","975","260","367","0","348","6170","3254","844","2072","2086","41","97","2030","0","2030","0","2030","357","522","0","1991.05"
"34683","0","2655495","2902005","Community Bank and Trust of Florida","Ocala","FL","34471","12/31/2014","2/18/2015","NM","1603 Southwest 19th Avenue","FLORIDA COMMUNITY BANKSHARES, INC.","11","0","0","2","0","Marion","36100","Ocala, FL","4/2/1998","4/2/1998","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","cbtfl.com","19549","2042","17507","-1750","3597","924","723","0","1950","14798","8136","2019","4643","8056","94","2183","5967","0","5967","0","5967","332","11841","0","5898.38"
"34220","0","2391494","2390031","Community Bank CBD","Delavan","WI","53115","12/31/2014","2/18/2015","NM","820 East Geneva Street","DELAVAN BANCSHARES, INC.","4","0","0","4","0","Walworth","","","8/12/1996","8/12/1996","9/25/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","http://www.communitybankcbd.com","8385","705","7680","310","1245","0","414","0","831","7330","4597","1003","1730","1285","0","330","955","0","955","0","955","269","747","0","955"
"35370","0","2855156","3485989","Community Bank Corporation","Chaska","MN","55318","12/31/2014","2/18/2015","SM","706 Walnut Street","CHARTER BANKSHARES, INC.","3","0","0","4","1","Carver","33460","Minneapolis-St. Paul-Bloomington, MN-WI","2/16/2000","2/16/2000","3/31/2006","Stock","0","0","FED","DIF","Kansas City","CHICAGO","Minneapolis","Minneapolis","Central","West","http://WWW.CBCHASKA.COM","6452","358","6094","100","673","0","315","0","358","5351","2843","600","1908","1316","28","2","1342","0","1342","0","1342","21","2000","0","1314"
"58311","0","3446784","0","Community Bank Delaware","Lewes","DE","19958","12/31/2014","2/18/2015","NM","1450 Kings Highway","","2","0","0","4","0","Sussex","41540","Salisbury, MD-DE","5/30/2006","5/30/2006","11/14/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","http://www.communitybankdelaware.com","6473","1040","5433","64","144","0","69","0","75","3801","2090","552","1159","1712","1","609","1104","0","1104","0","1104","105","542","28","1103.36"
"9760","12359","835257","1127847","Community Bank Mankato","Vernon Center","MN","56090","12/31/2014","2/18/2015","NM","201 East Main Street","VERNON CENTER BANCSHARES, INC.","4","0","0","4","1","Blue Earth","31860","Mankato-North Mankato, MN","12/1/1929","1/1/1934","8/19/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","http://www.cbfg.net","10106","1441","8665","1085","703","0","280","0","423","5764","3326","842","1596","2519","1","2","2518","0","2518","0","2518","1075","1367","0","2517"
"571","0","275509","0","Community Bank of Bergen County, N. J.","Maywood","NJ","7607","12/31/2014","2/18/2015","SM","125 West Pleasant Avenue","","3","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","12/8/1928","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","http://www.cbbcnj.com","12298","1954","10344","525","-290","0","358","0","-648","8336","4043","953","3340","1193","248","245","1196","0","1196","0","1196","891","0","0","990.16"
"57300","0","3082052","0","Community Bank of Broward","Dania Beach","FL","33004","12/31/2014","2/18/2015","NM","1991 Stirling Road","","10","0","0","4","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","1/22/2002","1/22/2002","1/7/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.cbob.com","20942","1757","19185","300","2081","0","1407","0","674","16208","8908","2255","5045","4758","0","1818","2940","0","2940","0","2940","136","294","997","2940"
"12349","0","385350","1516405","Community Bank of Cameron","Cameron","WI","54822","12/31/2014","2/18/2015","NM","101 West Main Street","CAMERON BANCORP, INC.","3","0","0","4","1","Barron","","","1/1/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","http://www.communitybankwi.com","4215","492","3723","43","381","0","194","0","187","2627","1523","399","705","1434","0","3","1431","0","1431","0","1431","39","1075","0","1431"
"18568","0","958231","1417436","Community Bank of Easton","Easton","IL","62633","12/31/2014","2/18/2015","NM","Second And Main Streets","EASTON BANCSHARES, INC.","1","0","0","2","0","Mason","","","8/1/1962","8/1/1962","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","","1011","75","936","0","52","0","44","0","8","308","213","26","69","680","0","258","422","0","422","0","422","0","110","0","422"
