cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,idothnii,iinvfee,ivencap,iserfee,isecz,iinscom,iinsund,iinsoth,netgnsln,netgnsre,netgnast,iotnii
"24498","0","216164","1133044","First State Bank","Graham","TX","76450","12/31/2014","2/18/2015","NM","1526 Fourth Street","WOODSON BANCSHARES, INC.","5","0","0","8","1","Young","","","5/26/1983","5/26/1983","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fsbgraham.com","403","0","0","0","0","3","3","0","0","-19","1","418"
"9437","0","294023","2376941","First State Bank","Winchester","OH","45697","12/31/2014","2/18/2015","NM","19230 State Route 136","FIRST STATE BANCORP, INC.","10","0","0","8","0","Adams","","","1/1/1934","1/1/1934","3/24/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","http://www.fsb4me.com","1188","0","0","67","0","0","0","0","129","-50","0","1042"
"57910","0","3285246","3285219","First State Bank","Nashua","IA","50658","12/31/2014","2/18/2015","NM","401 Main Street","FNSB BANCORPORATION CORP.","1","0","0","2","0","Chickasaw","","","2/21/2005","2/21/2005","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","http://WWW.FSB-NASHUA.COM","149","0","0","86","0","0","0","0","31","16","0","16"
"3983","0","273251","1131880","First State Bank","Armour","SD","57313","12/31/2014","2/18/2015","NM","703 Main Street","LEWIS BANSHARES, INC.","4","0","0","2","1","Douglas","","","1/1/1906","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.fsbadgt.com","863","0","0","0","0","722","0","722","0","0","0","141"
"12244","15666","488756","1054765","First State Bank","Farnam","NE","69029","12/31/2014","2/18/2015","NM","222 Main Street","NEBRASKA BANKSHARES, INC.","3","0","0","2","1","Dawson","","","7/26/1904","1/1/1934","1/17/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","www.1ststatebank4me.com","724","0","0","0","0","711","0","711","0","0","0","13"
"15050","9924","10849","1491614","First State Bank","Lonoke","AR","72086","12/31/2014","2/18/2015","NM","101 South Center Street","LONOKE BANCSHARES, INC.","6","0","0","4","0","Lonoke","30780","Little Rock-North Little Rock-Conway, AR","3/18/1935","3/18/1935","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.firststatebk.com","675","0","0","0","0","0","0","0","0","-271","40","906"
"1479","9404","126254","1140659","First State Bank","Union City","TN","38261","12/31/2014","2/18/2015","NM","115 West Washington Avenue","COMMUNITY FIRST BANCSHARES, INC.","35","0","0","4","0","Obion","","","1/10/1887","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","www.first-state.net","14547","249","0","516","0","4047","-102","4149","4216","1151","-19","4387"
"13622","15476","151957","1054765","First State Bank","Gothenburg","NE","69138","12/31/2014","2/18/2015","NM","914 Lake Street","NEBRASKA BANKSHARES, INC.","5","0","0","2","0","Dawson","","","1/1/1906","1/1/1934","11/15/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.1stStateBank.com","1082","259","0","0","0","252","0","252","406","54","0","111"
"12757","14420","513854","0","First State Bank","Valliant","OK","74764","12/31/2014","2/18/2015","NM","Dalton Ave. & Harris St.","","1","0","0","2","1","Mccurtain","","","1/1/1911","1/1/1934","12/1/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://WWW.FSBVALLIANT.COM","146","0","0","0","0","0","0","0","0","0","0","146"
"18301","0","524766","3361506","First State Bank","Shallowater","TX","79363","12/31/2014","2/18/2015","NM","One Commerce Park","SOUTH TEXAS BANCSHARES, INC.","2","0","0","4","1","Lubbock","31180","Lubbock, TX","10/8/1960","10/8/1960","8/1/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.fsbshallowater.com","153","0","0","0","0","0","0","0","0","0","0","153"
"18621","0","502353","1107885","First State Bank","Mesquite","TX","75149","12/31/2014","2/18/2015","NM","917 Military Parkway","G-6 CORPORATION","1","0","0","7","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","11/1/1962","11/1/1962","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.firststatebank.com","819","0","0","0","0","2","0","2","0","-173","33","957"
