cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"2682","12369","798512","2262503","The First National Bank of Brooksville","Brooksville","KY","41004","12/31/2014","2/18/2015","N","105 Locust St","FNB BANCSHARES, INC.","2","0","0","8","1","Bracken","17140","Cincinnati, OH-KY-IN","7/7/1907","1/1/1934","9/10/2008","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.fnbfirst.com","4402","3016","681","0","705"
"3770","0","207041","2199083","The First National Bank of Brownstown","Brownstown","IL","62418","12/31/2014","2/18/2015","N","108 East Main Street","FIRST BROWNSTOWN BANCORP, INC","1","0","0","2","0","Fayette","","","6/1/1913","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.fnbbrownstown.com","4178","851","793","931","1603"
"2786","0","465337","1245684","The First National Bank of Brundidge","Brundidge","AL","36010","12/31/2014","2/18/2015","N","137 South Main Street","FIRST BRUNDIDGE BANCSHARES, INC.","2","0","0","8","0","Pike","","","10/4/1904","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","http://www.f-n-b.com","23385","5118","6039","10813","1415"
"5105","0","108652","3288911","The First National Bank of Buhl","Buhl","MN","55713","12/31/2014","2/18/2015","N","121 State Street","TIMBERLAND BANCORP","2","0","0","4","1","Saint Louis","20260","Duluth, MN-WI","2/1/1902","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.fnbob.com","3629","1233","2396","0","0"
"3777","14587","209148","1098929","The First National Bank of Carmi","Carmi","IL","62821","12/31/2014","2/18/2015","N","201 East Main Street","SOUTHERN ILLINOIS BANCORP, INC.","10","0","1","4","0","White","","","12/20/1893","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","WWW.FIRSTBANK.BZ","40507","4051","18794","13056","4606"
"2735","14512","907444","2744849","The First National Bank of Carrollton","Carrollton","KY","41008","12/31/2014","2/18/2015","N","604 Highland Avenue","PORT WILLIAM BANCSHARES, INC.","2","0","0","8","1","Carroll","","","1/1/1881","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","www.fnbcarrollton.com","24113","4736","13412","4589","1376"
"3615","0","307932","1246793","The First National Bank of Catlin","Catlin","IL","61817","12/31/2014","2/18/2015","N","202 South Sandusky Street","BUTLER POINT, INC.","3","0","0","4","0","Vermilion","19180","Danville, IL","5/28/1904","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","www.catlinbank.com","4837","696","3461","680","0"
"3136","11549","880556","1105395","The First National Bank of Chillicothe","Chillicothe","TX","79225","12/31/2014","2/18/2015","N","200 Avenue H","NORTHERN BANCSHARES, INC.","2","0","0","2","1","Hardeman","","","3/26/1924","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.fnbchill.com","11571","2082","6905","2584","0"
"3636","0","685733","1138384","The First National Bank of Chrisman","Chrisman","IL","61924","12/31/2014","2/18/2015","N","147 West Monroe Avenue","CHRISMAN BANCORP, INC.","1","0","0","2","1","Edgar","","","1/29/1904","1/1/1934","6/1/2010","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","www.fnbchrisman.com","3113","1162","1951","0","0"
"5115","0","280558","1125320","The First National Bank of Cokato","Cokato","MN","55321","12/31/2014","2/18/2015","N","365 South Broadway","KNOFF BANCSHARES, INC.","1","0","0","2","1","Wright","33460","Minneapolis-St. Paul-Bloomington, MN-WI","11/2/1916","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.fnbcokato.com","3701","995","2052","399","255"
"5117","12953","311658","1122217","The First National Bank of Coleraine","Coleraine","MN","55722","12/31/2014","2/18/2015","N","423 Roosevelt Street","JAN-MAR CORP.","2","0","0","7","0","Itasca","","","1/1/1906","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.ColeraineBank.com","11585","2343","5925","1539","1778"
