cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"25591","13036","550653","1398861","Cedar Security Bank","Fordyce","NE","68736","12/31/2014","2/18/2015","NM","117 Main Street","CEDAR FINANCIAL HOLDING, INC.","3","0","0","2","0","Cedar","","","9/4/1984","9/4/1984","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","http://www.cedarsecurity.com","45493","691","46184","0","46184","15150","15150","477","1122","0","1122","0","7048","6503","","19469","9032","","2433","0","2","994","1437","100","0","100","0","0","0","0","","0","0","477","0","611",""
"14694","14694","1014246","1363962","Cedar Valley Bank & Trust","La Porte City","IA","50651","12/31/2014","2/18/2015","NM","321 Main Street","D & D BANCSHARES, INC.","2","0","0","2","1","Black Hawk","47940","Waterloo-Cedar Falls, IA","7/6/1906","8/22/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.cedarvalleybank.com","24405","224","24629","0","24629","13726","13726","151","3004","0","3004","0","4012","6559","","3968","5572","","1322","0","0","972","350","41","0","24","17","0","0","0","","0","0","103","48","224",""
"57684","0","3262788","4463126","CedarStone Bank","Lebanon","TN","37087","12/31/2014","2/18/2015","NM","900 West Main Street","CEDARSTONE FINANCIAL, INC.","3","0","0","4","0","Wilson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","4/19/2004","4/19/2004","10/24/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","http://www.cedarstonebank.com","108989","1263","110252","0","110252","89754","89754","2581","33996","23095","10901","799","44572","7806","","82","14460","","5935","0","366","3006","2563","21","0","0","21","0","0","0","","0","0","1495","1086","1271",""
"57056","0","2998576","0","Celtic Bank","Salt Lake City","UT","84111","12/31/2014","2/18/2015","NM","268 S. State St., Suite 300","","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","3/1/2001","3/1/2001","6/20/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","http://www.celticbank.com","283091","13215","296306","4091","300397","178747","178747","24851","136048","119439","16609","0","17593","255","","3190","103393","","14061","0","315","0","13746","1006","0","0","933","73","0","0","","3442","3134","17616","7235","3613",""
"8848","0","308256","1020920","CenBank","Buffalo Lake","MN","55314","12/31/2014","2/18/2015","NM","109 West Yellowstone Trail","CENTRAL TRUST COMPANY","2","0","0","2","1","Renville","","","1/1/1893","1/1/1934","1/31/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.cenbank.com","32832","261","33093","0","33093","18620","18620","700","1697","1060","637","130","2455","13638","","7493","3797","","3181","0","42","2496","643","2","0","0","2","0","0","0","","86","19","0","700","261",""
"3098","0","89957","1104567","Cendera Bank, National Association","Bells","TX","75414","12/31/2014","2/18/2015","N","615 E. Bells Blvd","FIRST BELLS BANKSHARES, INC.","3","0","0","4","1","Grayson","43300","Sherman-Denison, TX","1/1/1904","1/1/1934","7/1/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://www.cenderabank.com","45210","526","45736","94","45830","41660","41660","9283","5023","0","5023","684","26104","566","","159","2504","","924","0","0","380","544","583","0","571","12","0","0","33","","0","0","6371","2912","493",""
"30996","6230","934271","0","Cenlar FSB","Trenton","NJ","8618","12/31/2014","2/18/2015","SA","425 Phillips Boulevard","","1","0","0","5","1","Mercer","45940","Trenton, NJ","1/1/1912","6/13/1958","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.cenlar.com","166569","825","167394","0","167394","165157","165157","0","0","0","0","0","165157","0","","0","0","0","2213","0","0","0","2213","25","0","0","25","0","0","0","0","211","0","0","0","825",""
"26853","0","154257","4033855","Centennial Bank","Centennial","CO","80112","12/31/2014","2/18/2015","SM","13700 East Arapahoe Road","CIC BANCSHARES, INC.","11","0","0","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","12/8/1986","12/8/1986","8/15/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.centennialbanking.com","545331","6006","551337","726","552063","467655","467655","64616","187596","74471","113125","17036","197836","571","","0","82421","0","1574","0","1025","58","491","413","0","0","413","0","0","1427","0","238","0","29401","35215","6006",""
"11241","0","456045","1491409","Centennial Bank","Conway","AR","72032","12/31/2014","2/18/2015","SM","620 Chestnut Street","HOME BANCSHARES, INC.","156","0","1","4","0","Faulkner","30780","Little Rock-North Little Rock-Conway, AR","1/1/1903","1/1/1934","10/24/2014","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.my100bank.com","5002489","55011","5057500","0","5057500","4205245","4205245","740085","2081868","760090","1321778","258839","1051299","73154","","48853","678775","0","56735","0","6460","6084","44191","67893","0","12198","55695","0","0","0","0","26893","26835","151741","588344","55011",""
"14562","9841","973364","1103391","Centennial Bank","Lubbock","TX","79401","12/31/2014","2/18/2015","SM","904 Avenue O","COMMERCE BANCSHARES, INC.","13","0","0","4","1","Lubbock","31180","Lubbock, TX","6/7/1934","7/10/1934","9/3/2013","Stock","0","1","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.bankoncb.com","500272","5467","505739","0","505739","310357","310357","50668","147933","69584","78349","4880","69347","37529","","82446","89611","0","16336","0","739","4083","11514","6989","0","0","251","6738","0","0","0","205","156","6104","44564","5467",""
"10976","0","1017957","1246494","Center National Bank","Litchfield","MN","55355","12/31/2014","2/18/2015","N","301 North Ramsey Avenue","CNB FINANCIAL CORPORATION","2","0","0","7","1","Meeker","","","1/1/1891","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","Centernationalbank.com","72438","985","73423","0","73423","35609","35609","387","14511","6753","7758","0","12737","7974","","7938","17692","","11069","0","948","6464","3657","1115","0","267","848","0","0","0","","0","0","387","0","985",""
"19293","12493","862945","1203910","Center Point Bank and Trust Company","Center Point","IA","52213","12/31/2014","2/18/2015","NM","901 Bank Court","COUNTRY BANCORPORATION","1","0","0","8","0","Linn","16300","Cedar Rapids, IA","12/1/1964","12/1/1964","8/13/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","http://www.centerpointbank.com","19979","242","20221","0","20221","11604","11604","246","689","689","0","25","9823","821","","3855","3307","","1274","0","14","1082","178","180","0","178","2","0","0","0","","0","0","246","0","242",""
