cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntothr,ntcomrer
"24305","0","946555","4575047","Llano National Bank","Llano","TX","78643","12/31/2014","2/18/2015","N","1001 Ford Street","HILL COUNTRY BANCSHARES, INC.","4","0","0","4","0","Llano","","","1/17/1983","1/17/1983","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.llanonationalbank.com","0.455544975647182","-5.64996951990127E-02","0","-0.2027535868075","0","9.88204787654555E-02","","9.88204787654555E-02","3.79138154244498","2.46920867272656","","2.46920867272656","0.376738132748818",""
"28655","2054","619279","0","Llewellyn-Edison Savings Bank, FSB","West Orange","NJ","7052","12/31/2014","2/18/2015","SA","474 Prospect Avenue","","4","0","0","5","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1912","5/19/1938","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","llewellynedison.net","0.373669883692155","0.229085049755214","0","0","0","0.39847772554287","1.02648090053515","0","4.04382989825202","0","","0","",""
"4398","11288","176642","2807007","LNB Community Bank","Lynnville","IN","47619","12/31/2014","2/18/2015","NM","215 Main Street","LNB COMMUNITY BANCORP","4","0","0","6","1","Warrick","21780","Evansville, IN-KY","9/1/1907","1/1/1934","12/31/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","http://www.lnbbanking.com","8.29777145566619E-02","6.46541590257206E-02","0","0","0","8.42672958624758E-02","0","8.57378914714181E-02","0.307314074984634","0.363077185938234","","0.363077185938234","-0.10605578534309",""
"19285","0","164331","1133259","Logan Bank & Trust Company","Logan","WV","25601","12/31/2014","2/18/2015","SM","43 Washington Avenue","LOGAN COUNTY BANCSHARES, INC.","6","0","0","7","0","Logan","","","11/24/1964","11/24/1964","3/31/2006","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","http://www.lbandt.com","-0.088099741644854","-0.131852543390096","0","-0.985767974862917","","1.60594413455671E-02","0","0.016627315353663","0","4.20556817226007E-02","","4.20556817226007E-02","0",""
"5632","0","932642","0","Logan County Bank","Scranton","AR","72863","12/31/2014","2/18/2015","NM","600 Main Street","","2","0","0","7","0","Logan","","","4/4/1926","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.logancountybank.net","0.156677422359985","0.085581895761251","0","0","","0.10603490063015","","0.10603490063015","0","0.575777299354128","","0.575777299354128","0",""
"4476","0","754246","1492282","Logan State Bank","Logan","IA","51546","12/31/2014","2/18/2015","SM","323 East 7th Street","LOGAN BANCORPORATION, INC.","1","0","0","2","1","Harrison","36540","Omaha-Council Bluffs, NE-IA","12/1/1888","1/1/1934","1/1/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","http://www.loganstatebank.com","0.019367533815714","0","","0","","0","","0","0","0.941619585687382","","0.941619585687382","0",""
"29907","4312","918879","3848397","Logansport Savings Bank, FSB","Logansport","IN","46947","12/31/2014","2/18/2015","NM","723 East Broadway","LOGANSPORT FINANCIAL CORP.","1","0","0","2","0","Cass","","","1/1/1925","4/25/1956","6/12/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","","0.153858597794283","0.195183074494873","0","0","0","0.403472855242906","0","0.450397851435435","8.58380434208441E-02","0","","0","0",""
"58324","0","3448162","0","Lone Star Bank","Houston","TX","77063","12/31/2014","2/18/2015","NM","2600 South Gessner Road","","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","8/23/2006","8/23/2006","3/19/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","www.lsbtexas.com","-0.137358793888042","-0.144228550329995","-5.43963401026557","0","0","0.394131996880134","","0.394131996880134","-8.88651915044877E-02","0","","0","0",""
"12299","15923","171768","1107184","Lone Star Bank, S.S.B.","Moulton","TX","77975","12/31/2014","2/18/2015","SB","100 South West Street","SOUTHERN BANCSHARES, INC.","6","0","0","4","0","Lavaca","","","11/6/1920","1/1/1934","12/31/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.lonestarbank.com","5.84851564672886E-02","2.88890012350048E-03","0","0","0","7.11817233807048E-03","","7.11817233807048E-03","0.659171447856902","0.255015300918055","1.88916876574307","0.136736554238833","0",""
"35015","0","2788656","0","Lone Star Capital Bank, National Association","San Antonio","TX","78232","12/31/2014","2/18/2015","N","150 North Loop 1604 East","","8","0","0","4","0","Bexar","41700","San Antonio-New Braunfels, TX","3/9/1999","3/9/1999","10/1/2012","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.lscb.com","-6.69501783552751E-03","0","0","0","0","0","","0","-3.66512487080435E-02","0","","0","0","0"
